maize,"['Northern Europe', 0.7046409896592868]"
barley,"['Northern Europe', -0.8200777142301414]"
potatoes,"['Northern Europe', -0.8613685806426179]"
rapeseed,"['Southern Africa', -0.8524273868980567]"
apples,"['Northern Europe', -0.7737076996888232]"
oranges,"['Middle Africa', -0.7208007382635634]"
tomatoes,"['Southern Africa', 0.7314266306565796]"
onions_dry,"['Middle Africa', 0.7403232697262132]"
vegetables_fresh_nes,"['Eastern Africa', 0.7411215356429457]"
vegetables_fresh_nes,"['Middle Africa', 0.7713903951204581]"
vegetables_fresh_nes,"['Northern Europe', -0.7444811335642894]"
vegetables_fresh_nes,"['Polynesia', 0.7730004304710737]"
pears,"['Northern Europe', -0.7288006373277569]"
rye,"['Northern Europe', -0.8527822141140434]"
watermelons,"['Middle Africa', 0.700270471873213]"
pineapples,"['Southern Africa', -0.7143475511939459]"
fruit_fresh_nes,"['Southern Africa', -0.7131424336884358]"
mangoes_mangosteens_guavas,"['Southern Africa', -0.7006807223143812]"
mangoes_mangosteens_guavas,"['Caribbean', -0.7177267366783843]"
pumpkins_squash_and_gourds,"['Northern Europe', 0.9494623654025787]"
buckwheat,"['Northern Europe', 0.8224555086385809]"
buckwheat,"['Western Europe', 0.755489939808439]"
triticale,"['Northern Europe', 0.7254615437592297]"
papayas,"['Southern Africa', 0.761933141271096]"
peas_green,"['Northern Europe', -0.8327714843296599]"
maize_green,"['Southern Africa', -0.8874085622777561]"
maize_green,"['Northern Europe', 0.9792149258653422]"
maize_green,"['Western Europe', 0.7581844533300148]"
maize_green,"['Polynesia', 0.7848340222653255]"
currants,"['Northern Europe', 0.8298591414814142]"
