wheat,"['Low Income Food Deficit Countries', 0.8835687818073531]"
maize,"['Least Developed Countries', -0.7129281223723518]"
maize,"['Net Food Importing Developing Countries', -0.8446123100876383]"
soybeans,"['Least Developed Countries', -0.8310394151301946]"
soybeans,"['Net Food Importing Developing Countries', -0.870489357320061]"
barley,"['Low Income Food Deficit Countries', 0.7143979886562304]"
oil_palm_fruit,"['Least Developed Countries', 0.8924662728071713]"
oil_palm_fruit,"['Small Island Developing States', -0.9034703784286479]"
oil_palm_fruit,"['Net Food Importing Developing Countries', -0.7335083030909081]"
bananas,"['Net Food Importing Developing Countries', -0.7678641027556717]"
potatoes,"['Least Developed Countries', -0.7284141847186711]"
potatoes,"['Net Food Importing Developing Countries', -0.8708187588227365]"
apples,"['Small Island Developing States', -0.9528083153051808]"
apples,"['Low Income Food Deficit Countries', 0.8437296829997214]"
oranges,"['Small Island Developing States', 0.8591193732637741]"
tomatoes,"['Small Island Developing States', -0.7406550091585483]"
tomatoes,"['Net Food Importing Developing Countries', -0.7096028524519694]"
onions_dry,"['Small Island Developing States', -0.8886971681796701]"
onions_dry,"['Net Food Importing Developing Countries', -0.8497231769284401]"
oats,"['Low Income Food Deficit Countries', 0.7641951330156652]"
grapes,"['Low Income Food Deficit Countries', -0.8596954162347059]"
vegetables_fresh_nes,"['Small Island Developing States', -0.8239217361355268]"
vegetables_fresh_nes,"['Low Income Food Deficit Countries', -0.7865892196911054]"
vegetables_fresh_nes,"['Net Food Importing Developing Countries', -0.9151634047276002]"
pears,"['Least Developed Countries', -0.7454093671871719]"
pears,"['Small Island Developing States', -0.76412873812208]"
rye,"['Net Food Importing Developing Countries', -0.9721993828874839]"
watermelons,"['Low Income Food Deficit Countries', -0.7046932026674374]"
garlic,"['Least Developed Countries', -0.7277816905037795]"
garlic,"['Small Island Developing States', -0.7818351510614333]"
garlic,"['Low Income Food Deficit Countries', -0.7566123681588415]"
garlic,"['Net Food Importing Developing Countries', -0.8833988872682382]"
pineapples,"['Least Developed Countries', -0.8450105089151785]"
pineapples,"['Small Island Developing States', -0.9327873931821786]"
pineapples,"['Low Income Food Deficit Countries', -0.7111595416612406]"
pineapples,"['Net Food Importing Developing Countries', -0.9158667937337587]"
linseed,"['Low Income Food Deficit Countries', 0.757908838057028]"
fruit_fresh_nes,"['Least Developed Countries', -0.8002680206322605]"
fruit_fresh_nes,"['Small Island Developing States', -0.9049737474899874]"
fruit_fresh_nes,"['Net Food Importing Developing Countries', -0.9099924737496322]"
dates,"['Least Developed Countries', -0.7242108594855697]"
dates,"['Small Island Developing States', -0.8628441886775499]"
dates,"['Net Food Importing Developing Countries', -0.9517557958962277]"
mangoes_mangosteens_guavas,"['Least Developed Countries', -0.8922115553466008]"
mangoes_mangosteens_guavas,"['Net Food Importing Developing Countries', -0.9271768856021779]"
strawberries,"['Net Food Importing Developing Countries', -0.7763779424705689]"
pumpkins_squash_and_gourds,"['Least Developed Countries', -0.8208201375291441]"
pumpkins_squash_and_gourds,"['Small Island Developing States', -0.8767762460922905]"
pumpkins_squash_and_gourds,"['Low Income Food Deficit Countries', -0.7196928606510745]"
pumpkins_squash_and_gourds,"['Net Food Importing Developing Countries', -0.861071605731762]"
millet,"['Net Food Importing Developing Countries', -0.7799572735151228]"
avocados,"['Least Developed Countries', -0.8217363631072905]"
avocados,"['Low Income Food Deficit Countries', -0.7698389839533246]"
avocados,"['Net Food Importing Developing Countries', -0.8629804497031184]"
fruit_tropical_fresh_nes,"['Small Island Developing States', -0.8528835423280513]"
fruit_tropical_fresh_nes,"['Low Income Food Deficit Countries', -0.7053062636283005]"
fruit_tropical_fresh_nes,"['Net Food Importing Developing Countries', -0.8186320267124204]"
plantains,"['Least Developed Countries', -0.8561910033163773]"
plantains,"['Low Income Food Deficit Countries', -0.793859651180865]"
plantains,"['Net Food Importing Developing Countries', -0.8214966385238742]"
coconuts,"['Least Developed Countries', 0.7056855651923928]"
coconuts,"['Small Island Developing States', 0.935616812612892]"
coconuts,"['Net Food Importing Developing Countries', 0.8102375849389016]"
beans_green,"['Low Income Food Deficit Countries', -0.7129893453102171]"
beans_green,"['Net Food Importing Developing Countries', -0.8510577145473481]"
buckwheat,"['Low Income Food Deficit Countries', 0.7456446639002875]"
triticale,"['Low Income Food Deficit Countries', -0.8521985373671819]"
apricots,"['Low Income Food Deficit Countries', -0.7068413836047]"
asparagus,"['Low Income Food Deficit Countries', -0.7651038544616686]"
papayas,"['Small Island Developing States', -0.8972042290421838]"
papayas,"['Low Income Food Deficit Countries', -0.7678236579414948]"
papayas,"['Net Food Importing Developing Countries', -0.7491841724023797]"
peas_green,"['Low Income Food Deficit Countries', -0.7752573689471219]"
artichokes,"['Low Income Food Deficit Countries', -0.744126801407765]"
artichokes,"['Net Food Importing Developing Countries', -0.8152399099179791]"
spinach,"['Low Income Food Deficit Countries', -0.756496103815553]"
maize_green,"['Small Island Developing States', -0.8641723304001954]"
maize_green,"['Net Food Importing Developing Countries', -0.8462767667282898]"
persimmons,"['Low Income Food Deficit Countries', -0.7594053916102477]"
quinces,"['Least Developed Countries', -0.7971336898397596]"
quinces,"['Low Income Food Deficit Countries', -0.7820032764413439]"
quinces,"['Net Food Importing Developing Countries', -0.814303614743742]"
fonio,"['Least Developed Countries', -0.7275277476287274]"
fonio,"['Low Income Food Deficit Countries', -0.8097106958751233]"
fonio,"['Net Food Importing Developing Countries', -0.901103395167349]"
