maize,"['Least Developed Countries', 0.7379836540780914]"
soybeans,"['Least Developed Countries', 0.7747994014334426]"
soybeans,"['Net Food Importing Developing Countries', 0.7368496574435764]"
pineapples,"['Least Developed Countries', 0.7403146279300323]"
fruit_fresh_nes,"['Least Developed Countries', 0.7110968136897832]"
mangoes_mangosteens_guavas,"['Least Developed Countries', 0.7185464156751312]"
olives,"['Least Developed Countries', 0.8449273235268656]"
coconuts,"['Net Food Importing Developing Countries', -0.7177649062807502]"
apricots,"['Net Food Importing Developing Countries', 0.7308009006643237]"
papayas,"['Least Developed Countries', 0.7471159023033261]"
papayas,"['Net Food Importing Developing Countries', 0.7422210013049602]"
figs,"['Least Developed Countries', 0.7489671344967661]"
quinces,"['Least Developed Countries', 0.7201579519207839]"
