,Least Developed Countries,Small Island Developing States,Low Income Food Deficit Countries,Net Food Importing Developing Countries
apples,-0.6,-0.95,-0.46,-0.02
apricots,0.14,0.0,-0.55,-0.44
avocados,-0.78,-0.69,-0.84,-0.91
bananas,-0.71,-0.89,-0.54,-0.88
blueberries,0.0,0.0,0.0,0.0
cashewapple,-0.84,-0.38,-0.8,-0.87
cherries,0.0,-0.39,-0.32,-0.54
cranberries,0.0,0.0,-0.24,0.0
currants,0.0,0.0,-0.49,0.0
dates,-0.79,0.8,-0.58,-0.79
figs,-0.61,0.0,0.14,0.04
gooseberries,0.0,0.0,0.48,0.0
grapes,-0.42,0.0,-0.67,-0.87
oranges,-0.08,-0.1,-0.44,-0.64
papayas,-0.72,-0.89,-0.79,-0.83
pears,-0.43,-0.78,-0.66,-0.5
persimmons,-0.46,0.0,-0.66,-0.62
pineapples,-0.68,-0.71,-0.54,-0.82
plantains,-0.69,-0.8,-0.61,-0.8
quinces,-0.8,0.0,-0.71,-0.57
strawberries,0.0,0.0,-0.67,-0.81
artichokes,-0.53,0.0,-0.73,-0.82
asparagus,0.0,0.0,-0.77,-0.83
garlic,-0.76,-0.7,-0.73,-0.82
spinach,-0.58,0.24,-0.73,-0.64
tomatoes,-0.41,-0.79,-0.72,-0.81
watermelons,-0.65,-0.85,-0.74,-0.71
coconuts,0.08,0.64,-0.49,-0.39
linseed,-0.47,0.0,0.33,-0.54
olives,-0.67,0.0,-0.3,-0.15
rapeseed,0.65,0.0,-0.41,-0.04
soybeans,-0.8,0.05,-0.52,-0.82
potatoes,-0.77,0.06,-0.81,-0.89
cassava,-0.77,-0.83,-0.69,-0.88
barley,-0.58,0.0,-0.0,-0.21
buckwheat,0.09,0.0,0.73,-0.24
fonio,-0.74,0.6,-0.73,-0.88
maize,-0.67,-0.74,-0.36,-0.88
millet,-0.65,-0.55,-0.35,-0.8
oats,0.36,0.0,0.57,0.25
rye,0.0,0.0,0.6,-0.96
sorghum,-0.54,0.86,-0.03,-0.78
triticale,0.0,0.0,-0.92,0.51
wheat,-0.55,0.59,0.16,-0.77
