,Least Developed Countries,Small Island Developing States,Low Income Food Deficit Countries,Net Food Importing Developing Countries
apples,-0.38,-0.09,-0.17,0.21
apricots,-0.14,0.0,-0.06,0.21
avocados,-0.61,0.1,-0.42,-0.2
bananas,-0.4,-0.07,-0.24,-0.23
blueberries,0.0,0.0,0.0,0.0
cashewapple,-0.64,-0.09,-0.49,-0.47
cherries,0.0,-0.21,-0.03,-0.28
cranberries,0.0,0.0,-0.14,0.0
currants,0.0,0.0,-0.44,0.0
dates,-0.58,-0.06,-0.3,-0.44
figs,-0.61,0.0,-0.01,-0.05
gooseberries,0.0,0.0,0.43,0.0
grapes,-0.34,0.0,-0.26,-0.37
oranges,-0.08,-0.35,-0.15,-0.22
papayas,-0.5,-0.33,-0.35,-0.41
pears,-0.22,0.09,-0.32,-0.6
persimmons,-0.24,0.0,-0.33,-0.12
pineapples,-0.38,-0.23,-0.2,-0.51
plantains,-0.39,-0.09,-0.25,-0.31
quinces,-0.43,0.0,-0.42,-0.19
strawberries,0.0,0.0,-0.38,-0.45
artichokes,-0.53,0.0,-0.39,-0.19
asparagus,0.0,0.0,-0.34,-0.3
garlic,-0.45,-0.15,-0.3,-0.44
spinach,-0.28,0.39,-0.29,0.0
tomatoes,-0.31,-0.2,-0.38,-0.39
watermelons,-0.39,-0.35,-0.51,-0.2
coconuts,0.16,0.04,-0.22,-0.23
linseed,-0.07,0.0,0.52,-0.07
olives,-0.4,0.0,0.16,0.26
rapeseed,0.43,0.0,-0.46,0.01
soybeans,-0.59,-0.4,-0.13,-0.36
potatoes,-0.45,-0.32,-0.57,-0.44
cassava,-0.48,-0.16,-0.31,-0.44
barley,-0.24,0.0,0.44,0.27
buckwheat,0.21,0.0,0.3,0.13
fonio,-0.47,-0.2,-0.44,-0.42
maize,-0.33,-0.22,0.07,-0.34
millet,-0.26,0.31,0.25,-0.11
oats,0.32,0.0,0.21,0.13
rye,0.0,0.0,0.32,-0.38
sorghum,-0.06,0.23,0.44,0.05
triticale,0.0,0.0,-0.42,0.59
wheat,-0.29,0.33,-0.07,-0.07
