,Least Developed Countries,Small Island Developing States,Low Income Food Deficit Countries,Net Food Importing Developing Countries
apples,-0.24,-0.23,-0.18,0.19
apricots,-0.33,0.0,-0.13,-0.1
avocados,-0.65,0.17,-0.52,0.01
bananas,-0.23,-0.23,-0.23,0.08
blueberries,0.0,0.0,0.0,0.0
cashewapple,-0.58,-0.04,-0.55,-0.14
cherries,0.0,-0.18,-0.05,-0.5
cranberries,0.0,0.0,-0.12,0.0
currants,0.0,0.0,-0.33,0.0
dates,-0.51,0.05,-0.31,-0.15
figs,-0.73,0.0,0.05,0.12
gooseberries,0.0,0.0,0.48,0.0
grapes,-0.33,0.0,-0.29,-0.16
oranges,-0.17,-0.59,-0.14,-0.3
papayas,-0.55,-0.53,-0.43,-0.25
pears,-0.09,0.01,-0.35,0.11
persimmons,-0.06,0.0,-0.38,-0.02
pineapples,-0.26,-0.16,-0.15,-0.32
plantains,-0.27,-0.05,-0.27,0.03
quinces,-0.33,0.0,-0.47,-0.06
strawberries,0.0,0.0,-0.43,-0.35
artichokes,-0.53,0.0,-0.47,-0.07
asparagus,0.0,0.0,-0.39,0.01
garlic,-0.35,-0.54,-0.35,-0.28
spinach,-0.14,0.75,-0.34,0.08
tomatoes,-0.2,-0.45,-0.41,-0.22
watermelons,-0.37,-0.5,-0.5,0.09
coconuts,0.14,0.18,-0.22,-0.28
linseed,0.04,0.0,0.4,-0.22
olives,-0.5,0.0,0.05,-0.07
rapeseed,0.31,0.0,-0.46,-0.26
soybeans,-0.55,-0.14,-0.26,-0.31
potatoes,-0.36,-0.45,-0.69,-0.25
cassava,-0.41,-0.38,-0.34,-0.22
barley,-0.04,0.0,0.49,0.2
buckwheat,0.35,0.0,0.27,0.07
fonio,-0.41,-0.39,-0.49,-0.21
maize,-0.19,-0.5,0.03,-0.15
millet,-0.25,0.11,0.08,-0.06
oats,0.27,0.0,0.16,-0.08
rye,0.0,0.0,0.35,-0.03
sorghum,-0.0,0.29,0.36,0.05
triticale,0.0,0.0,-0.5,0.09
wheat,-0.23,0.64,0.05,-0.15
